age,id,profession,family_size,gender,ever_married,graduated,spending_score,segmentation
35,1708,Engineer,4,Female,Yes,No,Average,A
52,1709,Artist,2,Female,Yes,Yes,Low,A
63,1710,Artist,4,Female,Yes,Yes,Average,B
51,1711,Executive,3,Male,Yes,No,Low,C
29,1712,Entertainment,2,Female,Yes,Yes,Average,A
27,1713,Doctor,4,Male,No,No,Low,B
37,1714,Doctor,1,Female,No,Yes,Low,A
50,1715,Artist,2,Female,No,Yes,Low,A
74,1716,Lawyer,1,Male,Yes,Yes,Low,A
72,1717,Artist,3,Female,Yes,Yes,Average,C
83,1718,Lawyer,2,Female,Yes,Yes,High,B
37,1719,Engineer,3,Male,Yes,Yes,Average,A
30,1720,Artist,1,Female,No,No,Low,B
46,1721,Engineer,2,Female,No,Yes,Low,B
65,1722,Doctor,2,Female,Yes,Yes,Low,B
88,1723,Lawyer,2,Female,Yes,Yes,Average,C
43,1724,Entertainment,2,Male,Yes,Yes,Average,A
50,1725,Executive,3,Male,Yes,Yes,High,C
35,1726,Artist,2,Male,No,Yes,Low,D
67,1727,Lawyer,1,Male,Yes,Yes,Low,A
66,1728,Executive,1,Male,Yes,Yes,Low,B
39,1729,Artist,2,Female,No,Yes,Low,C
32,1730,Homemaker,1,Female,No,No,Low,D
40,1731,Artist,1,Female,No,Yes,Low,B
88,1732,Lawyer,3,Male,Yes,Yes,High,C
30,1733,Healthcare,5,Male,No,Yes,Low,D
32,1734,Entertainment,1,Male,No,Yes,Low,A
43,1735,Marketing,2,Male,Yes,No,Low,D
55,1736,Engineer,2,Female,Yes,No,Average,B
47,1737,Artist,3,Female,Yes,Yes,Average,C
31,1738,Healthcare,7,Female,No,No,Low,B
69,1739,Doctor,2,Male,Yes,No,Average,C
45,1740,Executive,2,Male,Yes,Yes,High,C
22,1741,Doctor,3,Female,No,No,Low,A
26,1742,Doctor,3,Female,No,Yes,Low,B
39,1743,Artist,3,Male,No,Yes,Low,A
61,1744,Entertainment,2,Male,Yes,Yes,Low,A
74,1745,Lawyer,2,Female,Yes,No,High,C
29,1746,Artist,1,Male,No,Yes,Low,D
29,1747,Homemaker,1,Male,No,Yes,Low,D
36,1748,Executive,3,Male,No,No,Low,D
63,1749,Doctor,2,Female,No,Yes,Low,B
69,1750,Artist,5,Male,Yes,Yes,Average,C
81,1751,Lawyer,1,Male,Yes,Yes,Low,A
71,1752,Lawyer,2,Female,Yes,No,High,B
31,1753,Healthcare,2,Female,No,No,Low,C
41,1754,Entertainment,4,Male,Yes,Yes,Average,A
35,1755,Homemaker,3,Male,Yes,No,Average,B
52,1756,Artist,1,Female,No,Yes,Low,A
45,1757,Artist,2,Male,Yes,No,Low,B
19,1758,Marketing,4,Female,No,No,Low,D
23,1759,Healthcare,5,Male,No,No,Low,D
77,1760,Lawyer,2,Male,Yes,No,Low,D
84,1761,Lawyer,1,Female,Yes,Yes,Low,B
47,1762,Entertainment,4,Male,Yes,No,High,D
29,1763,Entertainment,3,Male,No,Yes,Low,A
35,1764,Artist,3,Female,No,Yes,Low,A
40,1765,Artist,2,Male,Yes,Yes,Low,C
35,1766,Healthcare,1,Male,No,No,Low,D
43,1767,Entertainment,2,Male,No,Yes,Low,A
56,1768,Executive,1,Male,Yes,No,Low,D
53,1769,Artist,1,Female,Yes,Yes,Low,A
22,1770,Executive,3,Male,Yes,No,High,D
32,1771,Healthcare,4,Male,Yes,No,High,D
51,1772,Executive,5,Male,Yes,No,High,A
37,1773,Doctor,4,Male,Yes,No,Average,A
55,1774,Artist,4,Male,Yes,Yes,Average,A
42,1775,Entertainment,2,Male,No,Yes,Low,A
42,1776,Artist,2,Female,No,Yes,Low,A
38,1777,Engineer,5,Female,Yes,No,High,B
52,1778,Engineer,1,Female,No,Yes,Low,A
48,1779,Marketing,1,Female,Yes,Yes,Low,D
37,1780,Entertainment,2,Male,Yes,Yes,Average,C
27,1781,Doctor,3,Male,No,No,Low,B
48,1782,Artist,4,Male,Yes,No,Average,B
25,1783,Marketing,2,Female,No,Yes,Low,D
56,1784,Doctor,1,Female,No,Yes,Low,A
68,1785,Lawyer,1,Female,Yes,No,Low,D
43,1786,Artist,2,Male,No,Yes,Low,B
52,1787,Lawyer,2,Male,Yes,Yes,High,C
50,1788,Executive,5,Male,Yes,No,Average,B
41,1789,Entertainment,1,Male,No,Yes,Low,D
40,1790,Entertainment,2,Male,Yes,Yes,Average,B
32,1791,Healthcare,2,Male,No,Yes,Low,D
57,1792,Homemaker,2,Male,Yes,Yes,High,A
25,1793,Artist,2,Female,No,Yes,Low,C
74,1794,Lawyer,2,Male,Yes,No,High,A
50,1795,Artist,1,Female,No,Yes,Low,D
50,1796,Artist,2,Male,Yes,Yes,Average,B
29,1797,Artist,1,Male,No,Yes,Low,A
38,1798,Executive,5,Male,Yes,No,High,B
82,1799,Lawyer,1,Female,Yes,No,Low,A
50,1800,Engineer,3,Female,Yes,No,Low,B
56,1801,Artist,2,Male,Yes,Yes,High,B
19,1802,Healthcare,3,Male,No,No,Low,D
29,1803,Executive,3,Male,Yes,No,Low,B
26,1804,Doctor,3,Male,No,Yes,Low,D
31,1805,Doctor,5,Female,No,No,Low,C
42,1806,Artist,2,Male,Yes,Yes,Average,A
33,1807,Doctor,1,Female,No,Yes,Low,B
35,1808,Healthcare,5,Male,Yes,No,Low,D
46,1809,Engineer,3,Female,Yes,No,High,A
67,1810,Artist,2,Female,No,Yes,Low,B
35,1811,Artist,2,Female,No,No,Low,D
28,1812,Doctor,3,Male,No,No,Low,A
43,1813,Doctor,1,Female,No,No,Low,D
73,1814,Artist,3,Female,Yes,Yes,Average,C
21,1815,Healthcare,4,Female,No,No,Low,D
32,1816,Doctor,3,Female,No,No,Low,D
32,1817,Artist,3,Male,No,Yes,Low,A
25,1818,Homemaker,3,Male,No,No,Low,A
40,1819,Artist,1,Female,No,Yes,Low,A
48,1820,Executive,5,Male,Yes,Yes,High,B
36,1821,Artist,3,Female,No,Yes,Low,C
27,1822,Healthcare,3,Male,No,No,Low,D
82,1823,Entertainment,2,Female,Yes,No,High,B
23,1824,Healthcare,4,Male,No,No,Low,D
30,1825,Entertainment,3,Male,No,Yes,Low,D
30,1826,Entertainment,4,Male,No,Yes,Low,A
30,1827,Healthcare,3,Male,No,Yes,Low,D
28,1828,Entertainment,5,Male,No,Yes,Low,C
60,1829,Artist,2,Male,Yes,Yes,Low,A
52,1830,Artist,2,Female,Yes,Yes,Average,C
19,1831,Healthcare,2,Female,No,No,Low,D
40,1832,Executive,5,Male,Yes,No,Low,D
38,1833,Entertainment,1,Male,No,Yes,Low,D
71,1834,Entertainment,2,Female,Yes,Yes,Average,B
40,1835,Engineer,3,Female,No,Yes,Low,B
68,1836,Artist,2,Male,Yes,Yes,High,B
39,1837,Engineer,4,Female,Yes,No,Average,B
41,1838,Executive,4,Male,Yes,Yes,Low,B
22,1839,Healthcare,3,Female,No,No,Low,D
49,1840,Artist,2,Female,Yes,Yes,Low,B
26,1841,Healthcare,2,Female,Yes,Yes,Low,D
27,1842,Engineer,2,Female,No,No,Low,D
50,1843,Entertainment,2,Female,No,No,Low,A
37,1844,Homemaker,2,Female,Yes,Yes,Low,D
43,1845,Marketing,2,Male,No,Yes,Low,A
35,1846,Entertainment,1,Male,No,Yes,Low,D
50,1847,Artist,1,Female,Yes,Yes,Low,C
31,1848,Artist,1,Male,No,Yes,Low,A
20,1849,Healthcare,2,Female,No,No,Low,D
66,1850,Entertainment,2,Male,Yes,Yes,Average,C
37,1851,Healthcare,2,Male,Yes,Yes,Average,A
52,1852,Artist,2,Male,Yes,Yes,Average,C
45,1853,Executive,5,Male,Yes,Yes,High,C
27,1854,Healthcare,6,Female,No,Yes,Low,D
46,1855,Artist,4,Female,Yes,Yes,High,C
43,1856,Doctor,1,Female,Yes,No,Low,A
32,1857,Doctor,6,Female,No,No,Low,C
87,1858,Lawyer,4,Male,Yes,Yes,Low,C
59,1859,Artist,2,Male,No,Yes,Low,B
63,1860,Artist,3,Male,Yes,Yes,Average,C
47,1861,Artist,1,Male,No,Yes,Low,B
45,1862,Artist,2,Female,Yes,Yes,Low,C
79,1863,Lawyer,1,Male,Yes,No,Low,D
65,1864,Entertainment,2,Male,Yes,No,High,B
38,1865,Healthcare,2,Female,No,Yes,Low,B
20,1866,Healthcare,3,Male,No,No,Low,D
36,1867,Artist,2,Female,Yes,Yes,Low,C
56,1868,Healthcare,4,Male,Yes,No,High,B
32,1869,Doctor,3,Female,No,Yes,Low,A
33,1870,Healthcare,1,Female,No,Yes,Low,D
38,1871,Artist,3,Female,Yes,Yes,Average,B
49,1872,Artist,4,Female,Yes,Yes,High,C
33,1873,Doctor,1,Female,No,No,Low,D
57,1874,Artist,2,Female,Yes,Yes,High,C
65,1875,Lawyer,6,Female,Yes,Yes,Low,D
36,1876,Entertainment,2,Male,Yes,Yes,Average,C
43,1877,Engineer,7,Female,Yes,No,Average,A
18,1878,Entertainment,5,Female,No,No,Low,C
43,1879,Engineer,2,Female,Yes,No,Average,B
75,1880,Lawyer,1,Male,Yes,Yes,Low,A
39,1881,Healthcare,2,Male,Yes,Yes,Average,B
61,1882,Artist,2,Male,Yes,Yes,Low,B
26,1883,Engineer,5,Male,No,Yes,Low,C
52,1884,Artist,4,Male,Yes,Yes,Average,B
50,1885,Artist,1,Male,Yes,Yes,Low,B
51,1886,Artist,1,Female,No,Yes,Low,B
50,1887,Artist,3,Male,Yes,No,Average,C
53,1888,Executive,5,Male,Yes,Yes,High,B
40,1889,Executive,4,Male,Yes,No,Low,D
26,1890,Healthcare,3,Female,No,No,Low,B
32,1891,Entertainment,4,Male,No,No,Low,A
22,1892,Healthcare,3,Female,No,No,Low,D
36,1893,Artist,4,Female,Yes,Yes,Average,B
69,1894,Doctor,1,Female,Yes,No,Low,A
39,1895,Entertainment,2,Female,No,Yes,Low,A
81,1896,Doctor,2,Female,Yes,No,High,A
28,1897,Healthcare,2,Female,No,No,Low,D
28,1898,Healthcare,5,Male,No,Yes,Low,D
52,1899,Entertainment,5,Male,No,Yes,Low,B
40,1900,Artist,5,Female,Yes,Yes,Average,B
37,1901,Artist,2,Female,Yes,No,Average,D
26,1902,Marketing,5,Male,No,No,Low,D
31,1903,Homemaker,1,Female,No,No,Low,A
68,1904,Lawyer,2,Female,Yes,Yes,Low,C
56,1905,Artist,6,Female,Yes,Yes,Average,C
37,1906,Entertainment,2,Male,Yes,No,Low,A
58,1907,Artist,1,Male,Yes,Yes,Low,D
33,1908,Artist,1,Male,No,Yes,Low,A
31,1909,Homemaker,1,Female,No,No,Low,D
27,1910,Healthcare,3,Female,No,Yes,Low,B
25,1911,Healthcare,4,Male,No,No,Low,D
51,1912,Entertainment,2,Male,Yes,Yes,Average,B
37,1913,Engineer,3,Male,Yes,No,Average,D
69,1914,Executive,4,Male,Yes,Yes,Average,B
45,1915,Doctor,1,Female,Yes,No,Low,A
38,1916,Artist,2,Male,Yes,Yes,Low,C
19,1917,Healthcare,4,Female,No,No,Low,D
32,1918,Healthcare,3,Female,No,Yes,Low,D
31,1919,Artist,5,Male,No,Yes,Low,C
19,1920,Healthcare,3,Male,No,No,Low,D
41,1921,Entertainment,3,Male,Yes,Yes,Average,C
23,1922,Healthcare,6,Male,No,No,Low,D
65,1923,Entertainment,2,Male,Yes,No,Average,C
31,1924,Executive,5,Male,No,No,Low,D
73,1925,Artist,2,Female,Yes,No,High,C
42,1926,Doctor,2,Male,Yes,Yes,Low,C
19,1927,Healthcare,5,Female,No,No,Low,D
45,1928,Executive,9,Male,Yes,No,Low,D
28,1929,Entertainment,3,Female,No,Yes,Low,D
50,1930,Engineer,4,Female,Yes,Yes,Average,B
26,1931,Healthcare,2,Male,No,Yes,Low,C
82,1932,Lawyer,1,Male,Yes,Yes,Low,B
33,1933,Healthcare,2,Male,Yes,Yes,Low,A
50,1934,Marketing,2,Male,No,No,Low,C
83,1935,Lawyer,1,Male,Yes,No,Low,D
37,1936,Artist,1,Female,No,Yes,Low,B
37,1937,Artist,2,Male,Yes,Yes,Average,A
55,1938,Lawyer,3,Male,Yes,No,High,C
61,1939,Artist,2,Male,Yes,Yes,Low,C
39,1940,Artist,1,Female,Yes,Yes,Low,B
40,1941,Artist,2,Male,Yes,Yes,Low,C
55,1942,Artist,1,Male,Yes,Yes,Low,B
50,1943,Healthcare,1,Male,Yes,Yes,Average,D
26,1944,Doctor,3,Male,No,Yes,Low,D
53,1945,Artist,1,Female,No,Yes,Low,C
32,1946,Artist,3,Female,No,Yes,Low,A
31,1947,Marketing,1,Female,No,Yes,Low,D
30,1948,Healthcare,4,Male,No,No,Low,B
31,1949,Doctor,4,Female,No,Yes,Low,A
47,1950,Artist,1,Male,Yes,Yes,Low,A
49,1951,Artist,2,Male,Yes,Yes,Average,C
37,1952,Executive,3,Male,Yes,Yes,High,B
47,1953,Artist,4,Male,Yes,Yes,Average,C
52,1954,Executive,2,Male,Yes,Yes,High,C
79,1955,Lawyer,2,Male,Yes,No,High,B
47,1956,Executive,6,Male,Yes,No,High,C
29,1957,Engineer,4,Female,No,No,Low,A
33,1958,Engineer,1,Female,No,Yes,Low,A
18,1959,Healthcare,4,Male,No,No,Low,D
70,1960,Lawyer,2,Male,Yes,Yes,High,C
56,1961,Artist,2,Female,Yes,Yes,Average,C
42,1962,Artist,2,Male,Yes,Yes,Average,B
28,1963,Healthcare,2,Female,No,No,Low,B
81,1964,Lawyer,1,Male,Yes,Yes,Low,D
30,1965,Artist,2,Male,No,Yes,Low,A
53,1966,Lawyer,2,Male,Yes,No,Low,D
26,1967,Executive,4,Male,No,Yes,Low,D
51,1968,Artist,3,Male,Yes,Yes,Low,C
19,1969,Artist,7,Male,No,No,Low,B
75,1970,Lawyer,2,Male,Yes,Yes,High,B
51,1971,Engineer,1,Female,Yes,Yes,Low,A
70,1972,Homemaker,2,Female,Yes,Yes,Low,B
38,1973,Doctor,1,Female,No,Yes,Low,A
80,1974,Lawyer,1,Male,Yes,No,Low,B
33,1975,Entertainment,1,Male,No,No,Low,D
48,1976,Entertainment,6,Male,Yes,Yes,Average,C
33,1977,Healthcare,3,Female,No,No,Low,D
33,1978,Engineer,3,Female,No,Yes,Low,D
31,1979,Healthcare,4,Female,No,No,Low,C
48,1980,Artist,2,Female,Yes,Yes,Average,C
49,1981,Engineer,8,Male,Yes,No,Average,D
38,1982,Artist,1,Female,Yes,No,Low,B
46,1983,Entertainment,2,Female,Yes,Yes,Average,B
41,1984,Artist,2,Male,Yes,Yes,Average,C
31,1985,Artist,3,Female,Yes,No,High,A
37,1986,Entertainment,2,Male,Yes,Yes,Average,C
58,1987,Engineer,1,Female,Yes,No,Low,B
49,1988,Engineer,2,Female,Yes,Yes,Average,A
47,1989,Marketing,1,Female,Yes,No,Low,D
30,1990,Healthcare,4,Male,No,Yes,Low,D
33,1991,Doctor,2,Female,Yes,Yes,Low,A
33,1992,Healthcare,4,Male,No,No,Low,B
45,1993,Doctor,2,Male,Yes,No,Low,A
45,1994,Homemaker,1,Female,Yes,Yes,Low,B
21,1995,Entertainment,4,Female,No,No,Low,D
36,1996,Artist,2,Female,No,Yes,Low,A
28,1997,Artist,5,Female,No,No,Low,C
89,1998,Lawyer,2,Female,Yes,No,High,A
48,1999,Executive,4,Male,Yes,Yes,High,C
47,2000,Entertainment,5,Male,Yes,No,High,C
58,2001,Lawyer,2,Male,Yes,Yes,High,C
42,2002,Entertainment,3,Male,Yes,No,Average,A
22,2003,Healthcare,3,Male,No,No,Low,D
50,2004,Artist,1,Female,Yes,Yes,Low,B
73,2005,Executive,2,Male,Yes,No,High,D
40,2006,Artist,3,Male,Yes,Yes,Average,B
39,2007,Doctor,2,Female,Yes,No,Low,B
83,2008,Lawyer,3,Male,Yes,No,High,D
55,2009,Artist,1,Male,Yes,Yes,Low,B
42,2010,Engineer,4,Male,Yes,No,Average,A
27,2011,Artist,4,Male,Yes,Yes,Low,C
53,2012,Executive,2,Male,Yes,Yes,High,C
40,2013,Engineer,7,Female,Yes,Yes,Average,A
62,2014,Artist,9,Male,Yes,Yes,Average,C
40,2015,Entertainment,2,Male,Yes,Yes,Average,A
27,2016,Healthcare,3,Male,No,No,Low,A
84,2017,Lawyer,2,Female,Yes,No,High,B
26,2018,Artist,4,Male,No,No,Low,C
33,2019,Entertainment,1,Male,No,Yes,Low,A
27,2020,Artist,1,Male,No,Yes,Low,D
46,2021,Entertainment,5,Female,Yes,No,Average,D
25,2022,Healthcare,3,Female,No,No,Low,A
32,2023,Artist,4,Female,No,No,Low,C
21,2024,Healthcare,4,Female,No,No,Low,D
73,2025,Lawyer,4,Male,Yes,Yes,High,C
35,2026,Artist,2,Male,Yes,Yes,Average,B
52,2027,Artist,1,Male,No,Yes,Low,B
40,2028,Artist,2,Male,Yes,Yes,Low,B
88,2029,Lawyer,2,Female,Yes,Yes,High,A
41,2030,Artist,2,Female,No,Yes,Low,C
45,2031,Artist,5,Male,Yes,Yes,Average,B
41,2032,Entertainment,4,Male,Yes,No,Low,A
75,2033,Lawyer,2,Male,Yes,Yes,High,C
39,2034,Entertainment,2,Male,No,Yes,Low,A
45,2035,Doctor,1,Male,Yes,Yes,Low,A
50,2036,Artist,2,Female,Yes,Yes,Average,C
43,2037,Healthcare,2,Male,Yes,No,High,B
50,2038,Executive,4,Male,Yes,Yes,Average,B
76,2039,Lawyer,1,Male,Yes,Yes,Low,D
50,2040,Entertainment,2,Male,Yes,Yes,Low,A
56,2041,Executive,5,Male,Yes,Yes,High,C
28,2042,Entertainment,2,Male,Yes,No,Average,A
72,2043,Doctor,2,Female,Yes,Yes,Average,A
28,2044,Artist,2,Male,No,No,Low,A
27,2045,Artist,2,Female,Yes,Yes,Average,C
32,2046,Healthcare,4,Female,No,No,Low,D
20,2047,Doctor,4,Female,No,No,Low,A
45,2048,Executive,5,Male,Yes,Yes,Low,B
59,2049,Artist,2,Male,No,Yes,Low,C
46,2050,Marketing,1,Female,No,Yes,Low,D
41,2051,Artist,2,Male,No,Yes,Low,A
70,2052,Lawyer,2,Male,Yes,Yes,High,B
42,2053,Artist,3,Male,Yes,Yes,Average,B
60,2054,Engineer,9,Female,Yes,No,High,A
37,2055,Engineer,1,Male,No,Yes,Low,D
18,2056,Healthcare,7,Male,No,No,Low,D
52,2057,Artist,3,Male,Yes,Yes,Average,C
32,2058,Artist,4,Female,No,No,Low,A
74,2059,Lawyer,1,Male,Yes,No,Low,A
29,2060,Healthcare,2,Male,Yes,Yes,Average,A
37,2061,Entertainment,3,Male,Yes,Yes,Average,C
45,2062,Entertainment,3,Male,Yes,No,Average,B
51,2063,Artist,2,Female,Yes,Yes,Average,B
59,2064,Artist,2,Male,Yes,Yes,Average,C
55,2065,Artist,2,Male,Yes,Yes,Average,A
22,2066,Healthcare,3,Male,No,No,Low,D
50,2067,Entertainment,3,Male,Yes,Yes,Average,C
73,2068,Artist,3,Male,Yes,Yes,High,C
23,2069,Engineer,4,Female,No,No,Low,B
21,2070,Healthcare,5,Female,No,Yes,Low,D
46,2071,Artist,3,Male,Yes,Yes,Average,B
32,2072,Entertainment,2,Male,No,Yes,Low,D
36,2073,Healthcare,3,Female,No,Yes,Low,D
37,2074,Doctor,2,Male,Yes,No,Low,D
42,2075,Healthcare,2,Female,Yes,Yes,Average,D
33,2076,Homemaker,1,Female,No,No,Low,D
35,2077,Engineer,2,Female,Yes,No,High,D
70,2078,Artist,1,Male,Yes,Yes,Low,B
53,2079,Entertainment,1,Male,Yes,No,Low,A
80,2080,Lawyer,2,Female,Yes,No,High,D
58,2081,Artist,5,Female,Yes,Yes,Average,C
30,2082,Homemaker,9,Female,No,No,Low,A
59,2083,Artist,4,Male,Yes,Yes,Average,C
56,2084,Doctor,2,Female,Yes,Yes,Low,D
40,2085,Artist,1,Female,Yes,Yes,Low,B
68,2086,Artist,2,Female,Yes,Yes,Low,A
29,2087,Artist,6,Male,No,Yes,Low,A
55,2088,Artist,3,Female,Yes,Yes,Average,C
19,2089,Engineer,4,Female,No,No,Low,D
41,2090,Healthcare,4,Female,Yes,No,Average,D
33,2091,Doctor,2,Male,No,No,Low,C
41,2092,Artist,1,Male,No,Yes,Low,B
35,2093,Executive,4,Male,Yes,Yes,High,A
41,2094,Entertainment,2,Male,Yes,Yes,Average,B
26,2095,Healthcare,3,Male,No,No,Low,D
42,2096,Executive,5,Male,Yes,No,High,B
33,2097,Entertainment,3,Female,Yes,Yes,Average,D
39,2098,Artist,2,Male,Yes,Yes,Low,C
25,2099,Artist,3,Female,No,No,Low,C
40,2100,Entertainment,2,Male,No,Yes,Low,A
37,2101,Artist,2,Female,Yes,Yes,Average,C
65,2102,Artist,2,Female,Yes,Yes,Low,B
49,2103,Artist,2,Male,Yes,Yes,Average,C
38,2104,Engineer,2,Female,Yes,Yes,Low,C
48,2105,Engineer,5,Female,Yes,No,Average,C
52,2106,Entertainment,4,Male,Yes,Yes,Low,C
73,2107,Lawyer,1,Male,Yes,Yes,Low,D
48,2108,Engineer,1,Female,No,Yes,Low,B
25,2109,Doctor,2,Male,No,Yes,Low,D
31,2110,Healthcare,3,Male,No,Yes,Low,D
25,2111,Entertainment,9,Male,No,No,Low,C
25,2112,Executive,3,Male,No,No,Low,A
25,2113,Artist,2,Male,Yes,Yes,Low,A
29,2114,Entertainment,3,Male,No,No,Low,B
72,2115,Entertainment,3,Female,Yes,No,Average,B
48,2116,Artist,2,Male,Yes,Yes,High,B
28,2117,Doctor,5,Male,No,No,Low,D
42,2118,Artist,3,Female,Yes,Yes,High,C
32,2119,Artist,3,Female,Yes,Yes,Low,A
49,2120,Artist,1,Male,Yes,Yes,Low,B
55,2121,Artist,2,Female,Yes,Yes,Average,C
40,2122,Artist,3,Female,Yes,Yes,Average,A
37,2123,Doctor,3,Female,No,Yes,Low,A
27,2124,Healthcare,4,Male,No,No,Low,D
32,2125,Homemaker,2,Female,Yes,Yes,High,B
36,2126,Executive,4,Male,Yes,No,High,A
28,2127,Homemaker,1,Female,No,Yes,Low,D
18,2128,Entertainment,4,Male,No,No,Low,D
36,2129,Artist,1,Female,No,Yes,Low,B
88,2130,Lawyer,2,Female,Yes,Yes,High,C
51,2131,Artist,3,Male,Yes,Yes,Low,A
51,2132,Entertainment,4,Male,Yes,Yes,Average,B
31,2133,Artist,2,Male,No,No,Low,A
47,2134,Artist,3,Female,Yes,Yes,Average,C
29,2135,Healthcare,6,Male,No,Yes,Low,D
68,2136,Entertainment,2,Male,Yes,No,Average,A
32,2137,Doctor,4,Male,No,Yes,Low,D
75,2138,Lawyer,1,Male,Yes,Yes,Low,A
39,2139,Healthcare,1,Female,No,Yes,Low,A
18,2140,Healthcare,3,Male,No,No,Low,D
42,2141,Artist,2,Female,Yes,Yes,Average,B
48,2142,Executive,4,Male,Yes,Yes,Average,A
70,2143,Artist,2,Female,Yes,Yes,High,C
45,2144,Artist,2,Male,Yes,Yes,Average,B
29,2145,Healthcare,4,Female,No,Yes,Low,A
50,2146,Entertainment,3,Male,Yes,Yes,Average,C
22,2147,Healthcare,6,Female,No,No,Low,D
46,2148,Artist,2,Male,Yes,Yes,Low,C
81,2149,Lawyer,2,Female,Yes,Yes,High,C
66,2150,Artist,2,Male,Yes,Yes,High,B
53,2151,Artist,2,Female,No,Yes,Low,A
29,2152,Artist,1,Female,No,Yes,Low,A
86,2153,Lawyer,2,Female,Yes,Yes,High,C
70,2154,Artist,3,Male,Yes,Yes,Average,C
36,2155,Artist,2,Female,Yes,Yes,Average,B
35,2156,Artist,2,Male,No,Yes,Low,A
42,2157,Artist,2,Female,Yes,Yes,High,C
20,2158,Artist,3,Female,No,No,Low,D
27,2159,Engineer,9,Female,Yes,No,Average,D
56,2160,Artist,1,Male,Yes,Yes,Low,B
67,2161,Artist,1,Male,Yes,No,Low,B
51,2162,Artist,1,Female,Yes,Yes,Low,B
51,2163,Artist,3,Male,Yes,No,Low,A
26,2164,Artist,9,Female,No,Yes,Low,C
31,2165,Entertainment,1,Female,Yes,Yes,Low,A
43,2166,Executive,3,Male,Yes,No,High,A
59,2167,Executive,5,Male,Yes,No,Average,B
35,2168,Engineer,1,Female,No,Yes,Low,A
48,2169,Entertainment,2,Female,No,Yes,Low,A
30,2170,Healthcare,6,Female,No,Yes,Low,D
22,2171,Healthcare,3,Female,No,No,Low,D
66,2172,Artist,2,Male,Yes,Yes,High,C
81,2173,Engineer,2,Female,Yes,No,High,B
36,2174,Doctor,2,Female,Yes,No,Average,A
50,2175,Engineer,1,Female,No,Yes,Low,B
51,2176,Artist,2,Male,Yes,Yes,Low,B
66,2177,Lawyer,3,Male,Yes,Yes,High,A
39,2178,Engineer,2,Female,Yes,Yes,Average,C
28,2179,Entertainment,5,Female,No,No,Low,D
50,2180,Artist,1,Female,Yes,Yes,Low,A
60,2181,Marketing,5,Male,Yes,Yes,High,C
52,2182,Entertainment,4,Male,Yes,No,Average,B
32,2183,Marketing,3,Male,Yes,No,Low,D
42,2184,Doctor,1,Female,Yes,Yes,Low,B
48,2185,Entertainment,2,Male,No,Yes,Low,D
26,2186,Homemaker,2,Male,No,Yes,Low,A
21,2187,Healthcare,7,Female,No,No,Low,D
53,2188,Artist,1,Female,No,No,Low,C
32,2189,Doctor,3,Male,No,Yes,Low,D
56,2190,Doctor,2,Female,Yes,Yes,Average,C
36,2191,Artist,4,Female,No,Yes,Low,D
83,2192,Lawyer,2,Male,Yes,Yes,Low,B
42,2193,Executive,2,Male,Yes,Yes,Low,D
62,2194,Executive,2,Male,Yes,Yes,High,B
40,2195,Executive,4,Male,Yes,No,Low,D
38,2196,Artist,1,Male,No,Yes,Low,D
62,2197,Artist,2,Female,Yes,Yes,Low,C
42,2198,Artist,1,Male,No,Yes,Low,A
32,2199,Marketing,4,Female,No,No,Low,A
28,2200,Marketing,5,Female,No,No,Low,A
35,2201,Executive,4,Male,Yes,Yes,High,C
53,2202,Engineer,2,Female,No,Yes,Low,A
29,2203,Doctor,3,Male,No,Yes,Low,A
36,2204,Artist,3,Male,No,Yes,Low,B
72,2205,Executive,4,Male,Yes,Yes,High,C
50,2206,Engineer,2,Female,Yes,Yes,Low,A
79,2207,Lawyer,2,Female,Yes,Yes,High,C
23,2208,Marketing,4,Female,No,No,Low,D
25,2209,Healthcare,1,Female,No,Yes,Low,D
40,2210,Doctor,1,Female,No,Yes,Low,B
27,2211,Healthcare,2,Male,Yes,Yes,Average,A
62,2212,Artist,7,Female,Yes,Yes,Average,A
29,2213,Healthcare,2,Male,Yes,Yes,Average,B
31,2214,Doctor,2,Female,No,No,Low,A
28,2215,Healthcare,4,Male,No,Yes,Low,C
26,2216,Artist,5,Female,No,Yes,Low,A
33,2217,Healthcare,3,Female,No,No,Low,B
43,2218,Marketing,1,Female,No,Yes,Low,D
50,2219,Entertainment,4,Female,Yes,Yes,Average,B
29,2220,Artist,2,Female,No,Yes,Low,B
29,2221,Engineer,5,Male,No,No,Low,A
37,2222,Artist,2,Female,Yes,Yes,Low,D
75,2223,Lawyer,4,Female,Yes,Yes,High,B
19,2224,Entertainment,6,Male,No,No,Low,A
42,2225,Artist,1,Female,No,Yes,Low,B
28,2226,Doctor,2,Female,Yes,Yes,Average,A
45,2227,Artist,4,Male,Yes,Yes,Average,B
51,2228,Entertainment,3,Male,Yes,Yes,Low,D
40,2229,Entertainment,1,Male,No,No,Low,A
42,2230,Artist,1,Male,No,Yes,Low,A
49,2231,Artist,1,Female,No,Yes,Low,C
46,2232,Entertainment,2,Male,Yes,No,Low,D
29,2233,Artist,3,Male,Yes,Yes,Average,B
72,2234,Lawyer,2,Female,Yes,Yes,High,A
26,2235,Healthcare,3,Male,No,Yes,Low,C
50,2236,Engineer,3,Female,Yes,Yes,Average,C
33,2237,Doctor,3,Male,No,Yes,Low,C
35,2238,Artist,2,Female,Yes,Yes,Average,C
